UDP

time_req time_res delta_t_ms
1748549967.680157780 1748549967.807656726 127.499
1748549968.213175494 1748549968.341891397 128.716
1748549968.742786037 1748549968.896734148 153.948
1748549969.300701546 1748549969.434178893 133.477
1748549969.834729444 1748549969.963930481 129.201
1748549970.372792827 1748549970.499271200 126.478
1748549970.906961569 1748549971.033663318 126.702
1748549971.437742822 1748549971.564020284 126.277
1748549971.964579160 1748549972.091973205 127.394
1748549972.497828096 1748549972.625063074 127.235
1748549973.025509107 1748549973.153429202 127.920
1748549973.561465022 1748549973.688243550 126.779
1748549974.091036323 1748549974.218523081 127.487
1748549974.619304872 1748549974.746779848 127.475
1748549975.151565988 1748549975.278626929 127.061
1748549975.679150220 1748549975.805014258 125.864
1748549976.215304880 1748549976.342250846 126.946
1748549976.742770504 1748549976.869644696 126.874
1748549977.280893758 1748549977.408003848 127.110
1748549977.822571572 1748549977.952267006 129.695
1748549978.371077491 1748549978.498801527 127.724
1748549978.900825640 1748549979.029399091 128.573
1748549979.444646640 1748549979.573380251 128.734
1748549980.008827896 1748549980.138073274 129.245
1748549980.538594362 1748549980.667011590 128.417
1748549981.080237946 1748549981.208569186 128.331
1748549981.611857656 1748549981.740507078 128.649
1748549982.140702080 1748549982.269954477 129.252
1748549982.671329701 1748549982.907833304 236.504
1748549983.310368671 1748549983.438365006 127.996
1748549983.853252897 1748549983.981963524 128.711
1748549984.392763884 1748549984.521339768 128.576
1748549984.950314960 1748549985.080435681 130.121
1748549985.489814876 1748549985.619814587 130.000
1748549986.043325286 1748549986.171566384 128.241
1748549986.580513782 1748549986.708240259 127.726
1748549987.113381271 1748549987.243320911 129.940
1748549987.643542236 1748549987.773006131 129.464
1748549988.173450034 1748549988.305416935 131.967
1748549988.709805992 1748549988.837592178 127.786
1748549989.243422377 1748549989.371464298 128.042
1748549989.777836157 1748549989.904753851 126.918
1748549990.305075056 1748549990.433561263 128.486
1748549990.835374034 1748549990.962699002 127.325
1748549991.363907446 1748549991.491883991 127.977
1748549991.898241142 1748549992.026478560 128.237
1748549992.427164966 1748549992.553956453 126.791
1748549992.966416978 1748549993.092780825 126.364
1748549993.496340815 1748549993.624406268 128.065
1748549994.036508670 1748549994.164070752 127.562
