TCP

time_req time_res delta_t_ms
1748552207.281194412 1748552207.411469964 130.276
1748552207.815199149 1748552207.956891039 141.692
1748552208.367997132 1748552208.511321679 143.325
1748552208.914602530 1748552209.048598463 133.996
1748552209.450672980 1748552209.582522332 131.849
1748552209.988694364 1748552210.126757748 138.063
1748552210.527674066 1748552210.687668425 159.994
1748552211.099099473 1748552211.226320015 127.221
1748552211.627916789 1748552211.756903407 128.987
1748552212.164951023 1748552212.302021032 137.070
1748552212.702560567 1748552212.840056191 137.496
1748552213.245485697 1748552213.374647145 129.161
1748552213.780715736 1748552213.917722892 137.007
1748552214.326468275 1748552214.452279769 128.811
1748552214.854096070 1748552214.980579378 126.483
1748552215.393020021 1748552215.520591814 127.572
1748552215.933187277 1748552216.060799185 127.612
1748552216.463995431 1748552216.597770752 133.775
1748552217.006953806 1748552217.165959847 159.006
1748552215.207320312 1748552215.337022393 129.702
1748552215.737944514 1748552215.882378911 144.434
1748552216.283610828 1748552216.410184143 129.573
1748552216.816775821 1748552216.946846684 130.071
1748552217.359834010 1748552217.486348723 130.515
1748552217.887378010 1748552218.014464417 130.086
1748552218.427305185 1748552218.554364881 130.060
1748552218.957285723 1748552219.088298983 131.013
1748552219.490302876 1748552219.630673883 140.371
1748552220.039102749 1748552220.166016799 126.914
1748552220.566835372 1748552220.694155692 129.320
1748552221.101952973 1748552221.228360540 130.408
1748552221.632832138 1748552221.761568987 128.737
1748552222.165084527 1748552222.294746066 129.662
1748552222.697162739 1748552222.842375069 145.212
1748552223.244132725 1748552223.378971758 134.839
1748552223.782331091 1748552223.908868882 129.538
1748552224.309787168 1748552224.444660391 134.873
1748552224.845113646 1748552224.978365974 133.252
1748552225.387435866 1748552225.515100384 127.665
1748552225.919999356 1748552226.071362769 151.363
1748552226.472666631 1748552226.599529240 126.863
1748552227.008850793 1748552227.139280522 130.430
1748552227.549500470 1748552227.680994714 131.494
1748552228.090522463 1748552228.218763096 128.241
1748552228.625096745 1748552228.770063439 144.967
1748552229.177908006 1748552229.307628042 129.720
1748552229.716200918 1748552229.844973075 128.772
1748552230.247828328 1748552230.379548888 131.721
1748552230.779840495 1748552230.924322126 144.482
1748552231.329890346 1748552231.460165357 130.275
